target_time,split_code,recommended_patrols,maximum_priority_score,mean_selected_confidence,deployment_status
2024-03-05 09:00:00+05:30,2,25,4.2971926,0.8934901,deployment_recommended
2024-03-05 10:00:00+05:30,2,25,8.304908,0.8673546,deployment_recommended
2024-03-05 11:00:00+05:30,2,25,7.196266,0.89448065,deployment_recommended
2024-03-05 12:00:00+05:30,2,25,4.431847,0.873739,deployment_recommended
2024-03-05 13:00:00+05:30,2,25,4.5892344,0.8681142,deployment_recommended
2024-03-05 14:00:00+05:30,2,12,1.8246667,0.84874684,deployment_recommended
2024-03-05 15:00:00+05:30,2,5,1.9458046,0.9103057,deployment_recommended
2024-03-05 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 22:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-05 23:00:00+05:30,2,3,5.9333367,0.89771324,deployment_recommended
2024-03-06 00:00:00+05:30,2,7,2.4568768,0.89563906,deployment_recommended
2024-03-06 01:00:00+05:30,2,19,8.14725,0.86166954,deployment_recommended
2024-03-06 02:00:00+05:30,2,19,6.827963,0.8999861,deployment_recommended
2024-03-06 03:00:00+05:30,2,25,5.326561,0.84641296,deployment_recommended
2024-03-06 04:00:00+05:30,2,25,4.7454147,0.8019647,deployment_recommended
2024-03-06 05:00:00+05:30,2,25,5.238551,0.85603005,deployment_recommended
2024-03-06 06:00:00+05:30,2,25,5.3785915,0.8838316,deployment_recommended
2024-03-06 07:00:00+05:30,2,25,2.909029,0.88735336,deployment_recommended
2024-03-06 08:00:00+05:30,2,25,3.6218781,0.8839065,deployment_recommended
2024-03-06 09:00:00+05:30,2,25,7.173785,0.8857207,deployment_recommended
2024-03-06 10:00:00+05:30,2,25,19.88521,0.89594877,deployment_recommended
2024-03-06 11:00:00+05:30,2,25,9.329345,0.8701309,deployment_recommended
2024-03-06 12:00:00+05:30,2,25,11.182459,0.89469606,deployment_recommended
2024-03-06 13:00:00+05:30,2,25,5.3222885,0.8816564,deployment_recommended
2024-03-06 14:00:00+05:30,2,11,2.620571,0.86197054,deployment_recommended
2024-03-06 15:00:00+05:30,2,5,0.972701,0.9043934,deployment_recommended
2024-03-06 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-06 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-06 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-06 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-06 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-06 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-06 22:00:00+05:30,2,2,2.8133788,0.89840853,deployment_recommended
2024-03-06 23:00:00+05:30,2,2,4.2569885,0.90314716,deployment_recommended
2024-03-07 00:00:00+05:30,2,8,2.1470187,0.9153012,deployment_recommended
2024-03-07 01:00:00+05:30,2,15,5.967207,0.91661644,deployment_recommended
2024-03-07 02:00:00+05:30,2,24,5.2925797,0.9102457,deployment_recommended
2024-03-07 03:00:00+05:30,2,25,6.4767227,0.83891153,deployment_recommended
2024-03-07 04:00:00+05:30,2,25,11.266907,0.85553443,deployment_recommended
2024-03-07 05:00:00+05:30,2,25,6.631606,0.85367775,deployment_recommended
2024-03-07 06:00:00+05:30,2,25,4.6107564,0.87246436,deployment_recommended
2024-03-07 07:00:00+05:30,2,25,4.8554125,0.86947036,deployment_recommended
2024-03-07 08:00:00+05:30,2,25,6.9025474,0.895735,deployment_recommended
2024-03-07 09:00:00+05:30,2,25,12.097146,0.87290514,deployment_recommended
2024-03-07 10:00:00+05:30,2,25,7.2633276,0.8658644,deployment_recommended
2024-03-07 11:00:00+05:30,2,25,7.675814,0.8907556,deployment_recommended
2024-03-07 12:00:00+05:30,2,25,2.2542875,0.8941094,deployment_recommended
2024-03-07 13:00:00+05:30,2,18,1.7025659,0.88026786,deployment_recommended
2024-03-07 14:00:00+05:30,2,6,1.2963047,0.9250307,deployment_recommended
2024-03-07 15:00:00+05:30,2,2,1.524122,0.92815876,deployment_recommended
2024-03-07 16:00:00+05:30,2,2,1.762276,0.9239372,deployment_recommended
2024-03-07 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-07 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-07 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-07 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-07 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-07 22:00:00+05:30,2,1,0.9972528,0.9099716,deployment_recommended
2024-03-07 23:00:00+05:30,2,2,2.4266622,0.90314716,deployment_recommended
2024-03-08 00:00:00+05:30,2,7,5.188282,0.91083723,deployment_recommended
2024-03-08 01:00:00+05:30,2,15,3.451852,0.90630287,deployment_recommended
2024-03-08 02:00:00+05:30,2,21,3.0068486,0.8594707,deployment_recommended
2024-03-08 03:00:00+05:30,2,25,5.4209414,0.84861964,deployment_recommended
2024-03-08 04:00:00+05:30,2,25,5.331208,0.82552695,deployment_recommended
2024-03-08 05:00:00+05:30,2,25,4.008772,0.8657494,deployment_recommended
2024-03-08 06:00:00+05:30,2,25,4.946041,0.89206415,deployment_recommended
2024-03-08 07:00:00+05:30,2,25,3.2363498,0.8679859,deployment_recommended
2024-03-08 08:00:00+05:30,2,25,4.0821586,0.8804517,deployment_recommended
2024-03-08 09:00:00+05:30,2,25,6.194989,0.8967157,deployment_recommended
2024-03-08 10:00:00+05:30,2,25,8.140235,0.8965421,deployment_recommended
2024-03-08 11:00:00+05:30,2,25,5.5358524,0.9008339,deployment_recommended
2024-03-08 12:00:00+05:30,2,25,3.8610466,0.8829213,deployment_recommended
2024-03-08 13:00:00+05:30,2,25,3.5547428,0.8882914,deployment_recommended
2024-03-08 14:00:00+05:30,2,12,2.2285614,0.88350797,deployment_recommended
2024-03-08 15:00:00+05:30,2,5,1.7474351,0.8762479,deployment_recommended
2024-03-08 16:00:00+05:30,2,1,1.4474112,0.88321733,deployment_recommended
2024-03-08 17:00:00+05:30,2,2,0.8888577,0.7325991,deployment_recommended
2024-03-08 18:00:00+05:30,2,0,,,no_deployment_recommended
